Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite2,Chrome 79.0.3945.130,,,2020-01-21 15:25:12,2020-01-21 15:26:17,1m - 5.511s,PASSED
,,,,,,,
Test Cases/Day 2/datadriven,Chrome 79.0.3945.130,,,2020-01-21 15:25:12,2020-01-21 15:25:50,37.604s,PASSED
"openBrowser("""")",Chrome 79.0.3945.130,,,2020-01-21 15:25:14,2020-01-21 15:25:24,10.007s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 79.0.3945.130,,,2020-01-21 15:25:24,2020-01-21 15:25:29,4.945s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 79.0.3945.130,,,2020-01-21 15:25:29,2020-01-21 15:25:31,2.253s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 79.0.3945.130,,,2020-01-21 15:25:31,2020-01-21 15:25:34,3.446s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 79.0.3945.130,,,2020-01-21 15:25:34,2020-01-21 15:25:38,3.346s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 79.0.3945.130,,,2020-01-21 15:25:38,2020-01-21 15:25:46,8.347s,PASSED
closeBrowser(),Chrome 79.0.3945.130,,,2020-01-21 15:25:46,2020-01-21 15:25:48,1.911s,PASSED
,,,,,,,
Test Cases/Day 2/datadriven,Chrome 79.0.3945.130,,,2020-01-21 15:25:50,2020-01-21 15:26:17,27.240s,PASSED
"openBrowser("""")",Chrome 79.0.3945.130,,,2020-01-21 15:25:50,2020-01-21 15:25:56,6.471s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 79.0.3945.130,,,2020-01-21 15:25:56,2020-01-21 15:26:01,4.274s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 79.0.3945.130,,,2020-01-21 15:26:01,2020-01-21 15:26:03,2.182s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 79.0.3945.130,,,2020-01-21 15:26:03,2020-01-21 15:26:06,3.209s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 79.0.3945.130,,,2020-01-21 15:26:06,2020-01-21 15:26:09,3.260s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 79.0.3945.130,,,2020-01-21 15:26:09,2020-01-21 15:26:13,4.014s,PASSED
closeBrowser(),Chrome 79.0.3945.130,,,2020-01-21 15:26:13,2020-01-21 15:26:15,1.728s,PASSED
